Surprisal	Preposition	E/D	Connective	Crossing
34.31767654418945	By		. Thus, 	C_nX
34.53741455078125	Near		. Thus, 	C_nX
34.84870910644531	Near		. That is, 	C_nX
35.21508026123047	By		. That is, 	C_nX
35.096649169921875	Near		. That is, 	C_nX
34.44509506225586	Near		. Therefore, 	C_nX
34.598716735839844	By		. Therefore, 	C_nX
34.89339828491211	Near		. Therefore, 	C_nX
34.881065368652344	Near		. In short, 	C_nX
35.25720977783203	By		. In short, 	C_nX
35.33133316040039	Near		. In short, 	C_nX
34.5220832824707	Near		. Again, 	C_nX
34.8132209777832	By		. Again, 	C_nX
34.89369201660156	Near		. Again, 	C_nX
34.2452278137207	Near		. I repeat, 	C_nX
34.464080810546875	By		. I repeat, 	C_nX
34.16432189941406	Near		. I repeat, 	C_nX
34.05789566040039	Near		; thus, 	C_nX
34.22380828857422	By		; thus, 	C_nX
34.49186706542969	Near		; thus, 	C_nX
34.08781051635742	Near		; that is, 	C_nX
34.25627899169922	By		; that is, 	C_nX
34.113258361816406	Near		; that is, 	C_nX
34.485450744628906	Near		; therefore, 	C_nX
34.565757751464844	By		; therefore, 	C_nX
35.15500259399414	Near		; therefore, 	C_nX
34.19293212890625	Near		; in short, 	C_nX
34.574005126953125	By		; in short, 	C_nX
34.527183532714844	Near		; in short, 	C_nX
34.38394546508789	Near		; again, 	C_nX
34.73858642578125	By		; again, 	C_nX
34.484134674072266	Near		; again, 	C_nX
33.50638198852539	Near		; I repeat, 	C_nX
33.90005111694336	By		; I repeat, 	C_nX
33.3696174621582	Near		; I repeat, 	C_nX
34.075199127197266	Near		. Thus, 	C_nX
34.84870910644531	Near		. That is, 	C_nX
34.44509506225586	Near		. Therefore, 	C_nX
34.881065368652344	Near		. In short, 	C_nX
34.5220832824707	Near		. Again, 	C_nX
34.2452278137207	Near		. I repeat, 	C_nX
34.05789566040039	Near		; thus, 	C_nX
34.08781051635742	Near		; that is, 	C_nX
34.485450744628906	Near		; therefore, 	C_nX
34.19293212890625	Near		; in short, 	C_nX
34.38394546508789	Near		; again, 	C_nX
33.50638198852539	Near		; I repeat, 	C_nX
34.31767654418945	By		. Thus, 	C_nX
35.21508026123047	By		. That is, 	C_nX
34.598716735839844	By		. Therefore, 	C_nX
35.25720977783203	By		. In short, 	C_nX
34.8132209777832	By		. Again, 	C_nX
34.464080810546875	By		. I repeat, 	C_nX
34.22380828857422	By		; thus, 	C_nX
34.25627899169922	By		; that is, 	C_nX
34.565757751464844	By		; therefore, 	C_nX
34.574005126953125	By		; in short, 	C_nX
34.73858642578125	By		; again, 	C_nX
33.90005111694336	By		; I repeat, 	C_nX
34.53741455078125	Near		. Thus, 	C_nX
35.096649169921875	Near		. That is, 	C_nX
34.89339828491211	Near		. Therefore, 	C_nX
35.33133316040039	Near		. In short, 	C_nX
34.89369201660156	Near		. Again, 	C_nX
34.16432189941406	Near		. I repeat, 	C_nX
34.49186706542969	Near		; thus, 	C_nX
34.113258361816406	Near		; that is, 	C_nX
35.15500259399414	Near		; therefore, 	C_nX
34.527183532714844	Near		; in short, 	C_nX
34.484134674072266	Near		; again, 	C_nX
33.3696174621582	Near		; I repeat, 	C_nX
36.10124206542969	Near		. Thus, 	C_X
36.532840728759766	By		. Thus, 	C_X
36.61463165283203	Near		. Thus, 	C_X
36.91524887084961	Near		. That is, 	C_X
37.35334014892578	By		. That is, 	C_X
37.315677642822266	Near		. That is, 	C_X
36.68265914916992	Near		. Therefore, 	C_X
37.116600036621094	By		. Therefore, 	C_X
37.1938362121582	Near		. Therefore, 	C_X
36.38206481933594	Near		. In short, 	C_X
36.88163375854492	By		. In short, 	C_X
36.92720413208008	Near		. In short, 	C_X
36.27816390991211	Near		. Again, 	C_X
36.92286682128906	By		. Again, 	C_X
36.741966247558594	Near		. Again, 	C_X
36.4432373046875	Near		. I repeat, 	C_X
36.770076751708984	By		. I repeat, 	C_X
36.57698059082031	Near		. I repeat, 	C_X
36.18006896972656	Near		; thus, 	C_X
36.52877426147461	By		; thus, 	C_X
36.66503143310547	Near		; thus, 	C_X
35.58408737182617	Near		; that is, 	C_X
35.89673614501953	By		; that is, 	C_X
35.57992172241211	Near		; that is, 	C_X
37.186710357666016	Near		; therefore, 	C_X
37.55048370361328	By		; therefore, 	C_X
37.90190124511719	Near		; therefore, 	C_X
36.111045837402344	Near		; in short, 	C_X
36.52885818481445	By		; in short, 	C_X
